OrderID,Carrier,Origin,Distance_KM,Weight_KG,Cost_USD
1080,Air-Express,New York,8451,3365.069024214206,928.2535277101395
1081,Ground-Truck,New York,8879,1792.875721047317,2814.5690125613596
1082,Ocean-Freight,Shanghai,5953,1443.3687009280893,2757.997056784234
1083,Ocean-Freight,Shanghai,10264,2395.918099585975,6825.086580155359
1084,Rail-Link,Singapore,12478,566.937967453299,6006.370608195674
1085,Rail-Link,Singapore,11062,3708.950387373317,1865.124800651479
1086,Ground-Truck,New York,7851,222.53196726700472,250.89395431296137
1087,Air-Express,Shanghai,5245,4060.875382886396,5351.457514060726
1088,Ground-Truck,London,8693,449.34978021969255,2986.828083880502
1089,Air-Express,London,8000,4193.821663439232,3190.590582492673
1090,Ground-Truck,New York,1189,4058.83785704691,3446.2695307255162
1091,Ocean-Freight,New York,11741,2609.6016447667025,920.1979088686845
1092,Air-Express,New York,6128,877.433961875683,3332.58616611393
1093,Air-Express,Shanghai,2315,4323.017017054218,814.3743359109399
1094,Rail-Link,Shanghai,4642,1054.1438041915521,142.04831175217947
1095,Ground-Truck,Singapore,14516,982.577296106072,3866.723988240703
1096,Air-Express,Shanghai,5600,4229.262454977443,4182.165501453824
1097,Air-Express,Shanghai,14740,1546.7897398232203,5596.5076411310465
1098,Ocean-Freight,London,6113,2246.486874348157,323.79510857270054
1099,Air-Express,New York,1942,494.472456241168,1000.5322837543235
1100,Rail-Link,London,12465,3883.0686175256824,3666.0987512339548
1101,Air-Express,New York,6158,1020.3918263798787,3827.081073160014
1102,Ocean-Freight,New York,14979,184.81235124302248,4576.909884380639
1103,Rail-Link,Shanghai,14408,1498.0395183354851,1969.6762075006138
1104,Air-Express,New York,646,4235.609222007882,3230.7197882773457
1105,Ocean-Freight,Shanghai,3159,4086.2835164734083,4592.512023073076
1106,Ocean-Freight,Singapore,7932,4099.395467591989,3836.6305426812187
1107,Air-Express,Shanghai,5265,2582.0242364761925,3279.8330294577454
1108,Rail-Link,London,7472,1148.8804158475273,6931.208751679132
1109,Ocean-Freight,Singapore,13412,4998.5465528134055,3769.889711743611
1110,Air-Express,Shanghai,4553,3014.3403801676136,4504.274469586463
1111,Rail-Link,Singapore,6256,2330.008563835368,4197.45588358979
1112,Rail-Link,New York,12570,4154.834235002049,2301.838085883252
1113,Ocean-Freight,Singapore,12946,2331.538043049427,1413.0322275317467
1114,Ground-Truck,Singapore,5346,1123.1833144278546,545.8054957821191
1115,Rail-Link,Shanghai,1232,4581.557576141328,1657.3317140311804
1116,Rail-Link,London,7282,4709.74892830771,5616.461904787649
1117,Ground-Truck,London,2126,1041.5560499574358,5017.426132664945
1118,Ocean-Freight,London,12219,2488.625104054737,6106.179207530902
1119,Air-Express,London,10448,4894.615606742677,571.4401116940821
1120,Rail-Link,Shanghai,6484,3529.625243316384,1139.5536052534167
1121,Ground-Truck,New York,2733,4395.762771601359,6761.239832805883
1122,Air-Express,Shanghai,6195,2020.4207094874355,6305.57194957582
1123,Air-Express,Singapore,10925,4674.731044853533,6254.911486182088
1124,Rail-Link,New York,13343,95.56247765894152,2292.1714019137403
1125,Air-Express,London,1579,2207.3388781216836,117.76359685247868
1126,Air-Express,Shanghai,6658,78.59843231541646,1160.049119228945
1127,Ground-Truck,Shanghai,8708,389.65393965270385,6477.437191591551
1128,Ocean-Freight,Shanghai,4386,587.2701469632211,3553.4388174419364
1129,Air-Express,Singapore,5232,4784.999877446841,297.3927521646335
1130,Rail-Link,Shanghai,2601,382.39528889226875,5386.092957698573
1131,Air-Express,Shanghai,14876,3352.206287736825,3832.515005144257
1132,Air-Express,New York,4273,2448.9815095654626,7185.55960783982
1133,Rail-Link,Shanghai,6024,2534.025291856554,5715.661445706349
1134,Air-Express,London,5832,4042.1048727770903,1022.8820392667227
1135,Ground-Truck,Shanghai,12393,2442.562701215756,4827.324901791567
1136,Air-Express,London,4687,249.2723473929998,3660.793902017309
1137,Ocean-Freight,Singapore,3860,832.086339590234,5755.765500244711
1138,Ground-Truck,London,8308,4003.569950967051,4643.861567022893
1139,Ocean-Freight,Singapore,8182,4230.019301559919,1604.6730726292296
1140,Ocean-Freight,London,11945,2206.9335133829177,5304.397567912604
1141,Air-Express,Shanghai,8892,600.0486941105034,6488.049944354632
1142,Rail-Link,New York,10378,573.6189618147348,3880.9832910202053
1143,Ocean-Freight,New York,14336,3954.762650927207,4364.245941217488
1144,Ocean-Freight,London,12505,4019.519790662421,7520.169738397152
1145,Air-Express,London,6031,3901.8457740187328,2700.969562068829
1146,Air-Express,Singapore,7235,3275.0606246648,2115.6211895220986
1147,Rail-Link,Singapore,10890,3762.465043907188,7349.451082191955
1148,Ocean-Freight,London,7712,418.0153789904374,6876.575481324984
1149,Rail-Link,Singapore,11527,3575.551337316217,772.1342748492984
1150,Air-Express,New York,1018,4908.668934343584,6442.128590788234
1151,Ocean-Freight,London,4750,3136.171336560446,6137.773874128998
1152,Rail-Link,Singapore,6988,3855.6752110701627,971.3009419856025
1153,Air-Express,New York,6455,2628.7255708369667,5196.587772520252
1154,Ocean-Freight,Shanghai,12458,437.70385086908937,4416.283176763571
1155,Rail-Link,New York,11800,4862.679409964906,129.30536233916303
1156,Air-Express,London,5188,1803.929994134214,4279.0497718161505
1157,Ocean-Freight,London,13708,4123.752786947418,2531.502302395048
1158,Rail-Link,Singapore,12866,3015.2427573554155,3410.5352275510713
1159,Ground-Truck,London,2406,113.24606357340228,2810.0795520437414
1160,Ocean-Freight,London,14791,2719.657041220287,1971.6230966858936
1161,Ground-Truck,Singapore,11224,3787.1263140044925,893.5359685858682
1162,Air-Express,London,14287,2339.051307355263,6989.087779224833
1163,Ground-Truck,Singapore,5428,4421.4173897856535,3311.306109576963
1164,Ocean-Freight,London,7755,1115.9082965064124,5491.960733614623
1165,Ocean-Freight,Singapore,13759,3788.770883425203,7649.993940972057
1166,Air-Express,New York,9914,1549.797443103563,1450.2854309012212
1167,Ground-Truck,London,13928,4655.754430906779,4842.405823444784
1168,Ocean-Freight,Singapore,12476,4322.911386651676,7671.499209119041
1169,Ground-Truck,Shanghai,14228,3337.500310064057,7376.522282232341
1170,Rail-Link,Shanghai,7745,421.651571521244,2089.720667174945
1171,Ocean-Freight,Shanghai,544,2321.1824155594627,3818.5792736437984
1172,Ocean-Freight,Singapore,4536,527.9109372299329,4528.823064972157
1173,Ocean-Freight,London,8210,4712.777734415275,1279.3656929540703
1174,Rail-Link,New York,8900,1671.6664523820652,7398.247140870564
1175,Rail-Link,New York,11619,2069.819867175368,5351.233221708938
1176,Rail-Link,New York,7461,982.7871103604241,5652.931887763466
1177,Ocean-Freight,Shanghai,4374,3104.0111709030975,5807.439094028677
1178,Ocean-Freight,New York,4673,249.05012508234464,7505.471540171198
1179,Rail-Link,London,11431,3293.039573427502,1373.094763821272
1180,Ocean-Freight,Singapore,10087,1648.7244773181176,3807.828657944079
1181,Ground-Truck,London,6896,4233.028546460442,5658.682722868429
1182,Rail-Link,London,1497,1017.3830036258402,3371.8861333628606
1183,Ocean-Freight,London,1028,3748.1411135196686,4194.81558601884
1184,Air-Express,Singapore,681,2584.7466790200097,2218.6370994025283
1185,Rail-Link,New York,8963,4742.598631658919,4670.84090043273
1186,Rail-Link,Singapore,13379,3267.8432463452223,3686.9455926705496
1187,Air-Express,Singapore,13869,2863.7392461841646,7034.7207604670475
1188,Ground-Truck,London,1546,4390.9007593204415,5182.361084810661
1189,Ground-Truck,New York,6621,4575.197107022349,5919.467497224747
1190,Rail-Link,Singapore,13789,4888.819255949414,4557.986868270944
1191,Ground-Truck,New York,7698,4749.513391716585,4802.956200507199
1192,Air-Express,London,3166,1937.0402047144696,5810.28212791426
1193,Ocean-Freight,Shanghai,14304,3141.361037636847,2875.718112400318
1194,Ocean-Freight,New York,5075,2236.235214868838,3699.2759664990976
1195,Ground-Truck,London,776,1057.630540703577,6227.749036098582
1196,Air-Express,London,7532,2149.005170111752,4618.953927610927
1197,Ground-Truck,Shanghai,14995,4449.423269443874,2068.509366719827
1198,Rail-Link,London,10200,2050.909687752801,1628.2804974427827
1199,Air-Express,Singapore,2678,2145.7262772910517,4233.364286177843
1200,Ocean-Freight,Shanghai,4533,1900.6165026434633,7287.051514550408
1201,Rail-Link,London,5937,1149.3843157467284,6969.28731957153
1202,Ground-Truck,Singapore,3261,840.6255028305028,1138.9768185185305
1203,Air-Express,Singapore,14875,1292.4789039809061,1059.385857308867
1204,Air-Express,New York,2836,2850.394566381192,6613.821490134923
1205,Ground-Truck,Singapore,8255,246.85318145959081,399.21625625582436
1206,Ocean-Freight,New York,14950,2100.3766685222186,2400.3221010347925
1207,Ground-Truck,New York,3828,2475.140883325894,1299.0870600433486
1208,Ocean-Freight,Shanghai,3713,896.5371411127555,4746.789496089569
1209,Air-Express,New York,11635,3715.7353622036685,5689.45833768794
1210,Rail-Link,Shanghai,5363,1986.6963759962691,2756.93863531054
1211,Air-Express,Shanghai,406,422.61003395650874,5099.642196957055
1212,Ground-Truck,Singapore,5959,756.0703235084195,2027.1289926487475
1213,Air-Express,Shanghai,3068,1194.0104206920687,6605.784957046805
1214,Air-Express,Singapore,1356,1060.2655267746927,5127.1256829551485
1215,Rail-Link,London,3661,4118.052233388859,5962.091232519913
1216,Air-Express,Shanghai,14474,2685.0436751773655,2401.7338731466994
1217,Ground-Truck,Singapore,14688,1407.622310537587,5340.146708799409
1218,Air-Express,Singapore,8271,3868.7604810534217,5447.494930980998
1219,Air-Express,Shanghai,12867,3898.1193763119068,2133.8525125312985
1220,Rail-Link,London,4668,4330.294605525475,4688.186020256486
1221,Rail-Link,London,14921,4130.682158020217,4518.825331002354
1222,Ocean-Freight,New York,2658,875.8956295638939,2903.820952255013
1223,Air-Express,Singapore,9169,4479.066240251014,3584.91513231298
1224,Ocean-Freight,New York,3943,483.11155793083066,1265.3299023970048
1225,Ocean-Freight,London,13789,3297.876585552736,7434.071686184398
1226,Ground-Truck,London,1374,2006.0625828376349,2258.380749961268
1227,Ground-Truck,New York,14671,2568.622418371493,7459.925133977558
1228,Air-Express,Singapore,13327,2293.1720516635396,7402.984147782808
1229,Ocean-Freight,Singapore,5113,2443.098138996703,3512.022596378657
1230,Ocean-Freight,New York,7549,658.2443484469313,4610.723079022513
1231,Ground-Truck,New York,7707,3969.6630265615586,312.1266791437684
1232,Air-Express,New York,11605,73.69897537639821,4450.893223982016
1233,Ground-Truck,New York,8848,404.85520423027106,4679.626535150783
1234,Ocean-Freight,London,11841,4676.669219079715,6485.461686575907
1235,Rail-Link,Shanghai,1865,2778.906917356376,1032.4147221490011
1236,Ocean-Freight,Singapore,12460,59.18609861119044,2949.489799861419
1237,Ground-Truck,New York,8778,4383.82851308622,7956.461083371269
1238,Ground-Truck,Singapore,14081,2384.0961125365206,5375.759408478232
1239,Ground-Truck,London,10416,4814.394555546714,757.3454508555226
1240,Ocean-Freight,New York,12818,4001.556088249388,2138.810722901264
1241,Air-Express,Singapore,6245,4870.21892731389,4579.398731366759
1242,Ocean-Freight,Singapore,5014,1420.389450639562,7750.750339407802
1243,Ground-Truck,Singapore,8191,3598.7029068085303,5694.0588730680065
1244,Ocean-Freight,New York,7663,3456.5559196202976,6778.714734802843
1245,Ocean-Freight,London,12447,4926.420861293187,1229.344234373005
1246,Ground-Truck,London,10009,2544.610382226697,5576.355876038853
1247,Ocean-Freight,Singapore,6927,1072.4019793038826,7970.284328812496
1248,Rail-Link,London,13260,542.1131714124119,4388.325096567767
1249,Ocean-Freight,Singapore,9092,4997.729733686064,4647.950537274538
1250,Air-Express,Shanghai,6790,4115.335138888661,6751.422092895068
1251,Air-Express,Singapore,7608,3172.252832093088,7408.848146780154
1252,Ground-Truck,Singapore,12937,354.95596384561816,3830.2313182377366
1253,Ground-Truck,London,4599,2205.2697350892904,3110.871198811428
1254,Ocean-Freight,Singapore,2988,2957.4899812563035,7030.389037502834
1255,Air-Express,Shanghai,193,4715.346248372168,4604.352509622533
1256,Ocean-Freight,New York,9526,53.62525064386468,4813.616258424234
1257,Ground-Truck,Singapore,11537,3492.5473943224865,1658.403325184257
1258,Ocean-Freight,London,6628,1002.9971327639183,5348.384019639611
1259,Air-Express,New York,8632,4097.292510829378,2120.8123431133354
1260,Rail-Link,Shanghai,12053,3402.9856321668804,5206.136860289854
1261,Ground-Truck,Shanghai,12882,4186.188341040999,1829.111391468316
1262,Rail-Link,Singapore,9105,291.6316745499509,1568.3966315149569
1263,Rail-Link,Shanghai,8076,584.5296256183274,7339.129346644113
1264,Ground-Truck,London,10695,221.2665579315818,6323.687455883177
1265,Ground-Truck,Singapore,10144,530.2302107134352,4272.25787054363
1266,Rail-Link,New York,6588,1431.9231910360395,1037.1375772758158
1267,Air-Express,London,327,223.88674961465517,4278.663194314497
1268,Ground-Truck,London,7783,2914.4466108496285,7124.0410498102265
1269,Ocean-Freight,New York,1872,4932.77769421269,5246.6185133309145
1270,Air-Express,New York,8901,471.8677937329892,2425.939540726416
1271,Air-Express,New York,203,2185.1509218754113,3366.82701076977
1272,Air-Express,London,6662,2327.642285517673,705.932941952347
1273,Ocean-Freight,London,5101,287.2102132822416,1062.3370816968218
1274,Ground-Truck,Shanghai,6959,2584.3715071861056,4324.193260798487
1275,Ocean-Freight,New York,11247,4473.088940193271,2015.693198817299
1276,Rail-Link,Singapore,1354,2415.6043077539657,2601.6018095356094
1277,Ocean-Freight,Singapore,10245,2585.2151527814235,583.4821791070817
1278,Rail-Link,Shanghai,3130,245.47907011146108,7174.645792730728
1279,Air-Express,London,11867,3304.006431164021,999.9917820525185
1280,Ground-Truck,London,1855,1776.2753381034133,3953.9930550798813
1281,Ground-Truck,Singapore,948,3159.457893769247,2573.191618396384
1282,Ground-Truck,Shanghai,10027,114.89691650509484,7133.31958279539
1283,Rail-Link,Shanghai,3311,4755.560168455539,1883.9357657751582
1284,Ground-Truck,London,13322,3344.121315555459,3421.4430968800225
1285,Ocean-Freight,Singapore,11818,4545.506308947904,5669.782618565252
1286,Ground-Truck,New York,4301,3862.808216162382,7935.341461006742
1287,Rail-Link,Shanghai,12283,589.4561221436388,3240.270329510756
1288,Ground-Truck,Singapore,5392,512.93951301325,3324.9229819758125
1289,Ocean-Freight,Shanghai,14502,4583.919088264134,1207.863814181572
1290,Air-Express,London,438,1430.877797323763,6974.995162597648
1291,Air-Express,Shanghai,10613,3623.2094884295952,2352.9282106675214
1292,Air-Express,New York,2855,2661.6761260882035,305.7954817991736
1293,Ocean-Freight,London,7861,4707.152310660514,2863.405544953824
1294,Ground-Truck,Shanghai,7284,158.15104879348718,555.1092661304251
1295,Ground-Truck,Shanghai,6174,4520.501019225733,2953.433096582768
1296,Ocean-Freight,Shanghai,14939,2622.732594838319,2550.335553485941
1297,Ocean-Freight,London,7264,180.00592393904304,1354.1579272636202
1298,Ocean-Freight,New York,8575,2439.8996260303215,7354.017001102968
1299,Air-Express,Singapore,5431,1973.765909671908,3891.948010411307
1300,Ground-Truck,London,4404,3364.2572485348023,2525.3564116733774
1301,Air-Express,London,11364,2365.1434769123257,6687.6874728636785
1302,Ocean-Freight,Shanghai,10338,2896.7609724551044,4295.106266691542
1303,Rail-Link,New York,14314,577.9055603155778,3207.7258129868137
1304,Ocean-Freight,Singapore,12116,2428.564873430459,1014.2435085303363
1305,Ocean-Freight,Shanghai,13300,634.6421350724316,2767.027909929288
1306,Ground-Truck,Shanghai,6555,2653.797254299719,3549.6017641295466
1307,Ground-Truck,Singapore,8974,956.7779735538559,5236.0234611537135
1308,Air-Express,New York,14190,4452.656457825679,6504.496308720326
1309,Rail-Link,Shanghai,1713,3562.052456518164,5766.629354363402
1310,Rail-Link,London,6493,4502.206869880806,2266.110150653743
1311,Rail-Link,New York,12067,2387.291473756803,2864.1258724904455
1312,Ocean-Freight,Singapore,10953,688.1262932347613,4879.702509711062
1313,Rail-Link,Singapore,8869,408.00759212029885,7703.9399794108695
1314,Ocean-Freight,London,2970,2446.0649053636553,3451.504399750862
1315,Ground-Truck,Singapore,8314,113.65755056596947,6432.0620319909085
1316,Ocean-Freight,London,233,1800.7162474503473,7153.741899095296
1317,Rail-Link,Singapore,11660,2347.863244196605,5851.806870985449
1318,Ground-Truck,New York,14681,782.7134596560734,5246.574294445486
1319,Air-Express,New York,4405,1666.5144445837338,3426.5090590004006
1320,Ocean-Freight,London,5571,69.19319557897191,4423.19335134731
1321,Rail-Link,Singapore,3875,1867.471461224533,205.11477218109633
1322,Air-Express,New York,1735,1493.3811656408584,3060.0449869246413
1323,Ocean-Freight,Singapore,12438,3252.498797782016,5434.7497978582005
1324,Ocean-Freight,Singapore,1540,1828.2814791985004,712.4767550309642
1325,Rail-Link,New York,12112,938.1000126179517,2643.009965141828
1326,Rail-Link,Singapore,9905,1982.7506332157025,2893.7879873836737
1327,Ocean-Freight,London,7778,672.6407089610733,3719.9815120162625
1328,Ocean-Freight,New York,10984,1600.8182394241048,6139.053165222655
1329,Rail-Link,Shanghai,11840,2710.3378400519746,1170.943301593445
1330,Rail-Link,London,3548,3723.8335748055324,1227.8908980869564
1331,Ground-Truck,New York,10961,2998.0896602013795,3041.9605817210104
1332,Air-Express,New York,3162,4612.232178607092,2563.5502560583577
1333,Ocean-Freight,London,608,2318.5387886602894,6607.504167166489
1334,Air-Express,Singapore,3428,1504.3684924081642,346.12638953661354
1335,Ground-Truck,New York,10490,2417.569643298669,6716.669507373105
1336,Ocean-Freight,Shanghai,2886,4722.09924563569,6351.903966229983
1337,Ocean-Freight,Singapore,10752,7.558874016145774,4883.873143405661
1338,Ocean-Freight,Shanghai,1459,3523.369705243205,1338.7133256371897
1339,Ground-Truck,Singapore,4989,721.2396699284792,6002.35922691661
1340,Ocean-Freight,Singapore,4534,792.2639826586185,783.0421837953866
1341,Ground-Truck,London,13280,2522.3693452215966,2151.971948969165
1342,Rail-Link,New York,5434,3912.9919412726003,1270.6563088703188
1343,Ocean-Freight,London,13653,2369.8016105800807,343.6560666320411
1344,Air-Express,New York,1598,4930.949357140858,7279.1281864062785
1345,Rail-Link,Singapore,13914,742.5382134882918,3923.0091455073652
1346,Ground-Truck,London,2213,4876.451951860258,6011.9346277508375
1347,Air-Express,New York,1545,3404.4528459655344,7302.949463763002
1348,Ground-Truck,Shanghai,10519,4292.799640597338,2761.787891305442
1349,Air-Express,Singapore,3806,3204.5900692939645,7451.913526728946
1350,Ocean-Freight,London,14089,2379.924711792443,263.653212125721
1351,Air-Express,London,4125,4445.241855578804,6835.960321394061
1352,Rail-Link,Shanghai,3322,3126.594092345201,6957.332192910948
1353,Rail-Link,London,5453,608.5551263600682,3427.6011496642873
1354,Rail-Link,London,2272,2337.662248443339,1634.1681684811797
1355,Rail-Link,New York,7899,1091.2387103305728,4533.251234372508
1356,Air-Express,Shanghai,2873,3989.2662610496914,2992.3080295954273
1357,Air-Express,London,5307,3946.2161203891856,6772.779746221673
1358,Ocean-Freight,London,3380,491.1733420438031,1590.9812804860421
1359,Rail-Link,New York,11257,31.866765244512358,7290.464179509209
1360,Ocean-Freight,London,6798,2357.9931837473323,6731.7452410957385
1361,Ocean-Freight,Shanghai,2828,3830.616135912144,7508.523030389059
1362,Rail-Link,New York,10570,3636.8244124880866,6514.97808078728
1363,Ocean-Freight,Singapore,5739,277.7246706007254,5606.79823424902
1364,Ground-Truck,Shanghai,7662,1557.7556142371538,1348.8486396998424
1365,Ground-Truck,New York,10102,2420.142778478473,3024.956802577209
1366,Ground-Truck,London,11926,2888.607388465762,1565.6397203906897
1367,Ground-Truck,London,7750,2021.338149699668,3464.7953261322596
1368,Ground-Truck,London,4526,2754.0254864017975,7145.486754073542
1369,Rail-Link,Shanghai,10639,4642.376782110131,1958.2291724390373
1370,Air-Express,Shanghai,3049,226.525326216257,1564.987845091324
1371,Air-Express,Singapore,8132,2198.312590221585,3388.162319194457
1372,Ocean-Freight,Singapore,12793,853.9541821090266,4282.409022213787
1373,Ground-Truck,Singapore,10617,1444.127041186481,5664.788629396948
1374,Ocean-Freight,Shanghai,3929,1080.2497518705366,6742.085592968534
1375,Air-Express,Singapore,6185,1786.398851679354,6470.285398584234
1376,Air-Express,Singapore,9345,3547.9258215008854,3347.3693735879697
1377,Ocean-Freight,Singapore,9917,1164.8351433276637,3952.0659597999215
1378,Rail-Link,New York,8338,3099.5312213657885,3559.6139021444583
1379,Ocean-Freight,Shanghai,3022,2561.446658566415,411.2655163218737
1380,Ocean-Freight,Singapore,13220,4182.927586174351,4418.76627586965
1381,Ground-Truck,Singapore,607,1185.9956014113513,4162.435480448166
1382,Air-Express,New York,12272,1174.3647772087834,2124.338756683461
1383,Rail-Link,Singapore,13584,889.0510071358826,2763.8781787205057
1384,Ground-Truck,Singapore,861,1841.1362863342663,1131.169039088297
1385,Ocean-Freight,New York,5454,185.16427663022552,1004.4222711550998
1386,Ocean-Freight,Singapore,3177,2658.925699837154,2806.1186121489086
1387,Rail-Link,London,13995,2315.412703374236,3005.1439058530327
1388,Ground-Truck,New York,7468,4045.371610296317,3244.034690380131
1389,Ocean-Freight,Shanghai,4679,3785.7288811174017,2598.132868603324
1390,Ocean-Freight,New York,3902,1180.6216641659557,7148.1326721196765
1391,Ocean-Freight,Singapore,12783,4331.194298470843,7498.016346875488
1392,Ocean-Freight,New York,14239,4805.399727323093,4586.038715746377
1393,Rail-Link,London,9909,2770.6421516212868,4373.094297215027
1394,Air-Express,Singapore,9546,4020.553619106972,1354.49673482578
1395,Ocean-Freight,Singapore,11678,2725.7215668194417,4979.787357699419
1396,Rail-Link,London,14722,3293.86663323467,4236.89068187679
1397,Ground-Truck,Shanghai,14609,2101.451702628998,3110.6533271787
1398,Ocean-Freight,Singapore,6796,4768.336616935612,4510.879084454517
1399,Ocean-Freight,New York,11229,1537.8076345079867,3618.2702278451293
1400,Ground-Truck,New York,4448,2809.768441074923,7813.464993515782
1401,Air-Express,Singapore,3799,3694.379713597335,1638.8498407865454
1402,Ocean-Freight,Singapore,7696,4480.157156576702,6667.26355950867
1403,Rail-Link,Singapore,12395,4865.912863777206,7120.0145966263535
1404,Rail-Link,Singapore,8175,2748.13625869801,2157.8282122478677
1405,Ocean-Freight,New York,3140,3328.2047303418517,5910.962284721216
1406,Air-Express,London,14144,2873.078450754622,2410.3904503876483
1407,Ground-Truck,Singapore,3519,1188.9034740714437,7654.478237092581
1408,Ground-Truck,London,9862,2676.9422518429806,5104.135819441931
1409,Rail-Link,Shanghai,9494,4150.9961805517405,7533.74233809886
1410,Air-Express,New York,12141,3556.7745930286765,3082.4959653001406
1411,Air-Express,Shanghai,13888,2822.5942474757517,6195.009093016745
